no,timestamp,teks,teks_processed,tokens,matched_words,unmatched_words,removed_words
1,2016-12-30T06:37:56.000Z,ADIL loh utk yg punya kebijakan publik negara Ingat yg ini!!!,ADIL loh untuk yang punya kebijakan publik negara ingat yang ini ! !,"['ADIL', 'loh', 'untuk', 'yang', 'punya', 'kebijakan', 'publik', 'negara', 'ingat', 'yang', 'ini', '!', '!']","['ADIL', 'punya', 'kebijakan', 'ingat']","['untuk', 'yang', 'yang', 'ini']","['loh', 'publik', 'negara', '!', '!']"
2,2016-12-30T06:30:36.000Z,Tertibkan Media Online DPR Pemerintah Jangan Sporadis Apalagi Selektif Hanya kepada Media yang Berseberangan,tertibkan media online DPR pemerintah jangan sporadis apalagi selektif hanya kepada media yang berseberangan,"['tertibkan', 'media', 'online', 'DPR', 'pemerintah', 'jangan', 'sporadis', 'apalagi', 'selektif', 'hanya', 'kepada', 'media', 'yang', 'berseberangan']","['jangan', 'sporadis', 'selektif', 'hanya', 'berseberangan']",['yang'],"['tertibkan', 'media', 'online', 'DPR', 'pemerintah', 'apalagi', 'kepada', 'media']"
3,2016-12-30T04:48:35.000Z,harus dievaluasi lg kebijakan bebas visa trutama utk negara tiongkok pak!! bahaya tersembunyi martabat RI,harus dievaluasi lagi kebijakan bebas visa terutama untuk negara tiongkok pak ! ! bahaya tersembunyi martabat RI,"['harus', 'dievaluasi', 'lagi', 'kebijakan', 'bebas', 'visa', 'terutama', 'untuk', 'negara', 'tiongkok', 'pak', '!', '!', 'bahaya', 'tersembunyi', 'martabat', 'RI']","['harus', 'lagi', 'kebijakan', 'bebas', 'terutama', 'bahaya', 'martabat']",['untuk'],"['dievaluasi', 'visa', 'negara', 'tiongkok', 'pak', '!', '!', 'tersembunyi', 'RI']"
4,2016-12-30T04:21:40.000Z,jangan ngambang aturan logis apa undang undang,jangan ngambang aturan logis apa undang undang,"['jangan', 'ngambang', 'aturan', 'logis', 'apa', 'undang', 'undang']","['jangan', 'undang', 'undang']",['apa'],"['ngambang', 'aturan', 'logis']"
5,2016-12-30T02:36:13.000Z,Kebebasan bersuara berpendapat memang dijamin UU Namun kebebasan tersebut tdk harus kebablasan sehingga menabrak aturan aturan logis,kebebasan bersuara berpendapat memang dijamin UU tetapi kebebasan tersebut tidak harus kebablasan sehingga menabrak aturan aturan logis,"['kebebasan', 'bersuara', 'berpendapat', 'memang', 'dijamin', 'UU', 'tetapi', 'kebebasan', 'tersebut', 'tidak', 'harus', 'kebablasan', 'sehingga', 'menabrak', 'aturan', 'aturan', 'logis']","['memang', 'tidak', 'harus', 'menabrak']",['tetapi'],"['kebebasan', 'bersuara', 'berpendapat', 'dijamin', 'UU', 'kebebasan', 'tersebut', 'kebablasan', 'sehingga', 'aturan', 'aturan', 'logis']"
6,2016-12-30T02:52:25.000Z,Anggota Komisi IX DPR Okky Asokawati Evaluasi dan Moratorium Kebijakan Bebas Visa,anggota komisi IX DPR okky asokawati evaluasi dan moratorium kebijakan bebas visa,"['anggota', 'komisi', 'IX', 'DPR', 'okky', 'asokawati', 'evaluasi', 'dan', 'moratorium', 'kebijakan', 'bebas', 'visa']","['anggota', 'komisi', 'moratorium', 'kebijakan', 'bebas']",['dan'],"['IX', 'DPR', 'okky', 'asokawati', 'evaluasi', 'visa']"
7,2016-12-30T01:18:56.000Z,Anggota DPR RI Komisi II Dari Fraksi NasDem Gelar Reses di Lampura lewat Dinamika Lampung,anggota DPR RI komisi II dari fraksi nasdem gelar reses di lampura lewat dinamika lampung,"['anggota', 'DPR', 'RI', 'komisi', 'II', 'dari', 'fraksi', 'nasdem', 'gelar', 'reses', 'di', 'lampura', 'lewat', 'dinamika', 'lampung']","['anggota', 'komisi', 'gelar', 'lewat', 'dinamika']","['dari', 'di']","['DPR', 'RI', 'II', 'fraksi', 'nasdem', 'reses', 'lampura', 'lampung']"
8,2016-12-30T00:50:51.000Z,Wapres Minta Kebijakan Bebas Visa Dievaluasi csps policy,wapres meminta kebijakan bebas visa dievaluasi csps policy,"['wapres', 'meminta', 'kebijakan', 'bebas', 'visa', 'dievaluasi', 'csps', 'policy']","['meminta', 'kebijakan', 'bebas']",[],"['wapres', 'visa', 'dievaluasi', 'csps', 'policy']"
9,2016-12-29T16:20:02.000Z,Asal Sesuai Undang Undang Anggota DPR Ini Setuju Usul Duterte,asal sesuai undang undang anggota DPR ini setuju usul duterte,"['asal', 'sesuai', 'undang', 'undang', 'anggota', 'DPR', 'ini', 'setuju', 'usul', 'duterte']","['sesuai', 'undang', 'undang', 'anggota', 'setuju', 'usul']",['ini'],"['asal', 'DPR', 'duterte']"
10,2016-12-29T11:52:05.000Z,Saat memberikan makanan bergizi bantuan Kemenkes RI untuk balita di bbrp wil di DIY Reses,saat memberikan makanan bergizi bantuan kemenkes RI untuk balita di beberapa wil di DIY reses,"['saat', 'memberikan', 'makanan', 'bergizi', 'bantuan', 'kemenkes', 'RI', 'untuk', 'balita', 'di', 'beberapa', 'wil', 'di', 'DIY', 'reses']",['makanan'],"['untuk', 'di', 'di']","['saat', 'memberikan', 'bergizi', 'bantuan', 'kemenkes', 'RI', 'balita', 'beberapa', 'wil', 'DIY', 'reses']"
