no,timestamp,teks,teks_processed,ground_truth_mean,ground_truth_scaled,sd_annotator,ground_truth_category,tokens,matched_words,unmatched_words
50,2016-12-24T13:54:06.000Z,Komisi IX Ketua Komisi IX DPR RI merekomendasikan kpd pem agar tinjau ulang kebijakan bebas visa,komisi IX ketua komisi IX DPR RI rekomendasi kepada pem agar tinjau ulang kebijakan bebas visa,0.8,0.2,0.447213595499958,positive,"['komisi', 'IX', 'ketua', 'komisi', 'IX', 'DPR', 'RI', 'rekomendasi', 'kepada', 'pem', 'agar', 'tinjau', 'ulang', 'kebijakan', 'bebas', 'visa']","['komisi', 'IX', 'ketua', 'komisi', 'IX', 'DPR', 'RI', 'rekomendasi', 'kepada', 'agar', 'tinjau', 'ulang', 'kebijakan', 'bebas', 'visa']",['pem']
84,2016-12-21T08:47:51.000Z,Dapilku Rumahku Reses dan silaturahim bersama anggota DPR RI PKBMembelaRakyat,dapilku rumah reses dan silaturahim sama anggota DPR RI pkbmembelarakyat,0.8,0.2,0.447213595499958,positive,"['dapilku', 'rumah', 'reses', 'dan', 'silaturahim', 'sama', 'anggota', 'DPR', 'RI', 'pkbmembelarakyat']","['rumah', 'reses', 'silaturahim', 'sama', 'anggota', 'DPR', 'RI', 'pkbmembelarakyat']","['dapilku', 'dan']"
89,2016-12-20T18:32:07.000Z,mengharukan wakil rakyat trlalu banyak waktunya utk update disosmed hampir ga ada waktu utk update aspirasi rakyat yg diwakilinya,haru wakil rakyat terlalu banyak waktu untuk update disosmed hampir tidak ada waktu untuk update aspirasi rakyat yang wakil,-2.8,-0.7,0.4472135954999578,negative,"['haru', 'wakil', 'rakyat', 'terlalu', 'banyak', 'waktu', 'untuk', 'update', 'disosmed', 'hampir', 'tidak', 'ada', 'waktu', 'untuk', 'update', 'aspirasi', 'rakyat', 'yang', 'wakil']","['wakil', 'rakyat', 'terlalu', 'banyak', 'waktu', 'update', 'ada', 'waktu', 'update', 'aspirasi', 'rakyat', 'wakil']","['haru', 'untuk', 'disosmed', 'hampir', 'untuk']"
101,2016-12-20T04:39:14.000Z,Ketua dan Para Wakil Ketua DPR RI PERLUNYA RUU PELAPORAN KEUANGAN UNTUK DUNIA BISNIS USAHA DI via,ketua dan para wakil ketua DPR RI PERLU RUU LAPOR UANG UNTUK DUNIA BISNIS USAHA DI via,0.8,0.2,0.447213595499958,positive,"['ketua', 'dan', 'para', 'wakil', 'ketua', 'DPR', 'RI', 'PERLU', 'RUU', 'LAPOR', 'UANG', 'UNTUK', 'DUNIA', 'BISNIS', 'USAHA', 'DI', 'via']","['ketua', 'para', 'wakil', 'ketua', 'DPR', 'RI', 'PERLU', 'RUU', 'LAPOR', 'DUNIA', 'BISNIS', 'USAHA']","['dan', 'UANG', 'UNTUK', 'DI', 'via']"
121,2016-12-18T04:07:09.000Z,Viva Anggota DPR Minta TNI AU Investigasi Kecelakaan Hercules Mereka siap jika harus membuat kebijakan NewsToday,viva anggota DPR minta TNI AU investigasi celaka hercules mereka siap jika harus buat kebijakan newstoday,0.6,0.15,0.5477225575051662,positive,"['viva', 'anggota', 'DPR', 'minta', 'TNI', 'AU', 'investigasi', 'celaka', 'hercules', 'mereka', 'siap', 'jika', 'harus', 'buat', 'kebijakan', 'newstoday']","['viva', 'anggota', 'DPR', 'minta', 'TNI', 'AU', 'investigasi', 'celaka', 'mereka', 'siap', 'buat', 'kebijakan']","['hercules', 'jika', 'newstoday']"
135,2016-12-16T16:43:12.000Z,Komisi IX Pelajari Program Harga Pas Dan Anak Tokcer Komisi IX DPR RI dalam Masa Reses Persidangan II Tahun Sidang,komisi IX ajar program harga pas dan anak tokcer komisi IX DPR RI dalam masa reses sidang II tahun sidang,0.0,0.0,0.0,neutral,"['komisi', 'IX', 'ajar', 'program', 'harga', 'pas', 'dan', 'anak', 'tokcer', 'komisi', 'IX', 'DPR', 'RI', 'dalam', 'masa', 'reses', 'sidang', 'II', 'tahun', 'sidang']","['komisi', 'IX', 'ajar', 'program', 'harga', 'pas', 'anak', 'tokcer', 'komisi', 'IX', 'DPR', 'RI', 'dalam', 'masa', 'reses', 'sidang', 'II', 'tahun', 'sidang']",['dan']
150,2016-12-16T03:02:32.000Z,Dwi Murdaningsih RUU Jasa Konstruksi Resmi Disahkan Menjadi UU,dwi murdaningsih RUU jasa konstruksi resmi sah jadi UU,0.8,0.2,0.447213595499958,positive,"['dwi', 'murdaningsih', 'RUU', 'jasa', 'konstruksi', 'resmi', 'sah', 'jadi', 'UU']","['RUU', 'jasa', 'konstruksi', 'resmi', 'jadi', 'UU']","['dwi', 'murdaningsih', 'sah']"
168,2016-12-15T09:59:13.000Z,Paripurna DPR Setujui RUU Pertembakauan untuk Dibahas ROL,paripurna DPR tuju RUU tembakau untuk bahas ROL,0.2,0.05,0.447213595499958,positive,"['paripurna', 'DPR', 'tuju', 'RUU', 'tembakau', 'untuk', 'bahas', 'ROL']","['paripurna', 'DPR', 'tuju', 'RUU', 'tembakau', 'bahas']","['untuk', 'ROL']"
359,2016-11-30T04:03:17.000Z,Jakarta Proses pergantian Ketua DPR RI yang diusulkan oleh Partai Golkar sampai puncaknya hari ini Sore ini DPR,jakarta proses ganti ketua DPR RI yang usul oleh partai golkar sampai puncak hari ini sore ini DPR,0.0,0.0,0.0,neutral,"['jakarta', 'proses', 'ganti', 'ketua', 'DPR', 'RI', 'yang', 'usul', 'oleh', 'partai', 'golkar', 'sampai', 'puncak', 'hari', 'ini', 'sore', 'ini', 'DPR']","['jakarta', 'proses', 'ganti', 'ketua', 'DPR', 'RI', 'usul', 'partai', 'golkar', 'sampai', 'puncak', 'hari', 'DPR']","['ini', 'sore', 'ini']"
360,2016-11-30T03:42:13.000Z,RUU Ketentuan Umum Perpajakan Masih Dibahas DPR,RUU tentu umum paja masih bahas DPR,0.0,0.0,0.0,neutral,"['RUU', 'tentu', 'umum', 'paja', 'masih', 'bahas', 'DPR']","['RUU', 'tentu', 'umum', 'masih', 'bahas', 'DPR']",['paja']
