no,timestamp,teks,teks_processed,compound_score,sentiment,confidence_level,ground_truth,notes
6535,2017-06-15T09:57:17.000Z,DPR RI DEWAN PERWAKILAN RAKYAT PEMBUAT DAN PERANCANG UNDANG UNDANG MOHON JANG SE ENAKNYA DALAM MEMBUAT KEPUTUSAN ATAU KEBIJAKAN,DPR RI DEWAN WAKIL RAKYAT BUAT DAN ANCANG UNDANG UNDANG MOHON JANG SE ENAK DALAM BUAT PUTUS ATAU BIJAK,0.2101548378834749,positive,moderate,negative,mengkritisi DPR RI dalam merancang UUD
4098,2016-04-28T09:07:00.000Z,Sejumlah Aturan Disinkronkan Presiden Kumpulkan Penegak Hukum Bahas Pengampunan Pajak,jumlah atur sinkron presiden kumpul tegak hukum bahas ampun pajak,0.1250561794296495,positive,ambiguous,neutral,"hanya memberikan informasi, dan terbaca seperti bukan opini"
3164,2016-06-02T09:17:36.000Z,RUU Pilkada Disetujui Anggota DPR Mencalon Tak Usah Mundur,RUU pilkada tuju anggota DPR calon tak usah mundur,0.6996765874203054,positive,very_confident,neutral,"memberikan informasi bahwa RUU Pilkada telah disetujui, sehingga bagi para DPR yang  mau mencalon, tidak usah mundur"
10279,2018-08-17T06:21:49.000Z,PEMERINTAH NAIKKAN ANGGARAN KESEHATAN DUA KALI LIPAT Dalam pidato soal RAPBN tahun anggaran di Rapat Paripurna DPR RI Presiden Joko Widodo menyampaikan bahwa sejak sesuai dengan UU Kesehatan pemerintah konsisten menjaga anggaran kesehatan sebesar ONEMINUTETVONE,PERINTAH NAIK ANGGAR SEHAT DUA KALI LIPAT dalam pidato soal RAPBN tahun anggar di rapat paripurna DPR RI presiden joko widodo sampai bahwa sejak sesuai dengan UU sehat perintah konsisten jaga anggar sehat besar ONEMINUTETVONE,0.1877462058682854,positive,moderate,neutral,"memberikan informasi saja, walaupun di tweetnya ada tertulis kalau ""pemerintah menjaga angaran"", memang kesannya positif sih, tapi ini ga ada kaitanya dengan DPR RI."
10787,2018-07-03T07:42:47.000Z,Advertorial Mentan Komisi IV DPR RI Bahas RUU Sistem Budidaya Pertanian Berkelanjutan,advertorial tan komisi IV DPR RI bahas RUU sistem budidaya tani lanjut,0.0599281035291435,positive,ambiguous,neutral,memberikan informasi saja
10764,2018-07-05T08:44:59.000Z,Infografis III Daftar RUU dalam Tahap Pembicaraan Tingkat I pada Program Legislasi Nasional Prolegnas RUU Prioritas Tahun Prolegnas,infografis II daftar RUU dalam tahap bicara tingkat i pada program legislasi nasional prolegnas RUU prioritas tahun prolegnas,0.0798297691111313,positive,ambiguous,neutral,tidak ada konteks opini tentang DPR RI
10943,2019-12-22T06:57:41.000Z,Anggota DPR Aceh Salihin F PKB melaksanakan Reses II Tahun ke Daerah Pemilihan IV Kabupaten Aceh Tengah dan Bener Meriah resesdpra acehtengah benermeriah,anggota DPR aceh salihin f PKB laksana reses II tahun ke daerah pilih IV kabupaten aceh tengah dan benar riah resesdpra acehtengah benermeriah,0.0768481823738527,positive,ambiguous,neutral,hanya publikasi kegiatan aja 
5788,2017-08-10T11:50:01.000Z,Reses DPR RI Ir Sri Meliyana menghadiri kegiatan Gerakan Sadar Wisata dan Aksi Sapta Pesona di kampung Morogan,reses DPR RI ir sri meliyana hadir giat gera sadar wisata dan aksi sapta pesona di kampung morogan,0.197375320224904,positive,moderate,neutral,hanya publikasi kegiatan aja 
3976,2016-05-02T06:53:52.000Z,DPRD Tangsel Rapat Paripurna Raperda,DPRD tangsel rapat paripurna raperda,0.1325487883908783,positive,ambiguous,neutral,hanya publikasi kegiatan aja 
11446,2020-12-07T10:10:49.000Z,KEBIJAKAN PEMERINTAH BERDASARKAN HUKUM DAN PERATURAN NYA ATAS KEBIJAKAN DPR YG SOLID MENDUKUNG NYA DAN SUARA RAKYAT ADALAH SUARA DI GEDUNG DPR KARENA ITU KAMU SEKALIAN HARUS JUJUR DAN BERSABAR AGAR TENANG DAN SELAMAT DI DUNIA AHKIRAT,BIJAK PERINTAH DASAR HUKUM DAN ATUR NYA ATAS BIJAK DPR YANG SOLID DUKUNG NYA DAN SUARA RAKYAT ADALAH SUARA DI GEDUNG DPR KARENA ITU KAMU SEKALI HARUS JUJUR DAN SABAR AGAR TENANG DAN SELAMAT DI DUNIA AHKIRAT,0.3872590232569672,positive,confident,positive,"ada farming positif ke DPR RI, kemudian sseperti mengajak para pembaca untuk percaya, sabar dan tenang"
12871,2024-12-06T13:30:00.000Z,Ketua Komisi X DPR RI Misbakhun mengungkapkan hasil diskusi dengan Presiden Prabowo Subianto terkait pemberlakuan PPN persen Ia menyampaikan bahwa kenaikan PPN persen tetap berlaku mulai Januari sesuai dengan amanat undang undang Namun hanya menyasar barang barang,ketua komisi KALI DPR RI misbakhun ungkap hasil diskusi dengan presiden prabowo subianto kait laku PPN persen ia sampai bahwa naik PPN persen tetap laku mulai januari sesuai dengan amanat undang undang namun hanya sasar barang barang,0.209426466203503,positive,moderate,neutral,tidak ada opini pribadi penulis ataupun kata evaluatif di teks ttweet tersebut
7419,2017-04-06T04:29:08.000Z,Terima kasih atas di bacakan surpres RUU ASN wib SahkanRevisiUUASN,terima kasih atas di baca surpres RUU ASN wib sahkanrevisiuuasn,0.0599281035291435,positive,ambiguous,positive,"walaupun tidak ada kata dukungan langsung, namun ada apresiasi yang melibatkan DPR (RUU)"
6496,2017-06-18T15:08:34.000Z,Baleg DPR RI RUU Permusikan bakal jadi payung hukum kuat bagi musisi,baleg DPR RI RUU musik bakal jadi payung hukum kuat bagi musisi,0.1586485042974989,positive,moderate,neutral,"ini lebih ke pernyataan faktual tentang fungsi RUU. ga ada opini evaluatif eksplisit tentang DPR-nya. ""Payung hukum kuat"" itu deskripsi fungsi"
6287,2017-07-09T01:41:18.000Z,RadioElshinta LIVE! Anggota Komisi IX DPR RI Irma Suryani Chaniago terkait RUU Pernikahan Dini Simak,radioelshinta LIVE ! anggota komisi IX DPR RI irma suryani chaniago kait RUU nikah dini simak,0.1481026740075008,positive,ambiguous,neutral,hanya publikasi berita aja sih
4433,2017-12-11T07:44:09.000Z,Ini Penyebab Ditundanya Rapat Paripurna DPR RI,ini sebab tunda rapat paripurna DPR RI,0.1325487883908783,positive,ambiguous,neutral,hanya memberi tau bahwa ada penundaan rapat
11023,2019-12-19T01:47:13.000Z,Lihat kondisi hutang masalah ekonomi dll Sulit menerima kebijakan ini Namun saat wakil rakyat mayoritas setuju kami pasrah sadar hrs waspada pilih wakil rakyat pemimpin Ibu Kota Pindah Urgensi atau Ambisi Jokowi Buat Legacy?,lihat kondisi hutang masalah ekonomi dll sulit terima bijak ini namun saat wakil rakyat mayoritas tuju kami pasrah sadar harus waspada pilih wakil rakyat pimpin ibu kota pindah urgensi atau ambisi jokowi buat legacy ?,0.0769901942933878,positive,ambiguous,negative,pesan kekecawaan dan rasa putus asa terhadap keputusan DPR 
8374,2017-01-18T02:14:24.000Z,Agenda DPR Rabu Pukul WIB Banggar DPR Rapat Panja RUU tentang Pemberantasan Tindak Pidana Terorisme agendaDPR,agenda DPR rabu pukul WIB banggar DPR rapat panja RUU tentang berantas tindak pidana terorisme agendadpr,0.0798297691111313,positive,ambiguous,neutral,memberikan informasi saja
1499,2016-09-18T16:02:58.000Z,Kira berapa ya biaya anggaran komisi dpr ri bahas ruu pemilu yang tak bermutu tuk mengizinkan napi atau ekx penjahat jadi balon kdh nasib,kira berapa ya biaya anggar komisi dpr ri bahas ruu milu yang tak mutu untuk izin napi atau ekx jahat jadi balon kdh nasib,0.2811118257931823,positive,moderate,negative,"ada kata ""RUU tak bermutu"", negatif terhadap kebijakan"
6691,2017-06-03T17:19:12.000Z,PAK KALAU TIDAK SALAH PEMERINTAH KEMBALI KEBIJAKAN AN?,PAK KALAU TIDAK SALAH PERINTAH KEMBALI BIJAK AN ?,0.4967634432141283,positive,confident,neutral,"selain konteks yang susah dipahami, ini juga lebih ke pertanyaan sih"
5854,2017-07-31T06:56:35.000Z,Harap RUU Terorisme Tak Kesampingkan HAM,harap RUU terorisme tak samping HAM,0.6410769611853464,positive,very_confident,neutral,"ini ekspresi harapan/khawatir, bukan dukungan atau penolakan"
9710,2018-10-08T09:37:28.000Z,Komite I DPD RI dan Timja RUU melakukan Rapat Kerja bersama DPR RI Pansus membahas RUU tentang Daerah Kepulauan RUU inisiatif DPD RI di Gedung Nusantara II Senayan Jakarta DPDRI RUUKEPULAUAN,komite i DPD RI dan timja RUU laku rapat kerja sama DPR RI pansus bahas RUU tentang daerah pulau RUU inisiatif DPD RI di gedung nusantara II senayan jakarta DPDRI RUUKEPULAUAN,0.1325487883908783,positive,ambiguous,neutral,hanya publikasi berita aja sih
8795,2018-12-12T02:54:32.000Z,Lahir besar di dunia musik membuat punya keinginan memajukan industri musik Dia bertekad menangkan Pemilu agar bisa duduk di Komisi X DPR RI sehingga bisa buat kebijakan yang mendorong kemajuan industri kreatif termasuk musik CalegPerindo Perindo,lahir besar di dunia musik buat punya ingin maju industri musik dia tekad menang milu agar bisa duduk di komisi KALI DPR RI sehingga bisa buat bijak yang dorong maju industri kreatif masuk musik calegperindo perindo,0.1537705222640926,positive,moderate,positive,"opini positive, tersirat seperti kampanye, namun DPR digambarkan sebagai wadah untuk perubahan baik"
4162,2016-04-27T05:12:24.000Z,DPR Minta Kebijakan Menteri Susi Pertimbangan Aspek Tradisi,DPR minta bijak menteri sus timbang aspek tradisi,0.0532828229009679,positive,ambiguous,neutral,"sekilas, tweet ini terlihat seperti DPR berusaha mengusahakan meminta kebijakan yang baik, namun itu dari insterpretasi pembaca bukan langsung yg kelihatan dari isi tek tweetnya"
168,2016-12-15T09:59:13.000Z,Paripurna DPR Setujui RUU Pertembakauan untuk Dibahas ROL,paripurna DPR tuju RUU tembakau untuk bahas ROL,0.0599281035291435,positive,ambiguous,neutral,hanya publikasi berita aja sih
4220,2017-12-24T02:37:20.000Z,Bantu Kristi ningrum dapat lebih banyak tanda tangan tanda tangan diperlukan!,bantu kristi ningrum dapat lebih banyak tanda tangan tanda tangan perlu !,0.0988758786023702,positive,ambiguous,neutral,lebih ke ajakan sih (namun tidak ada pembahasan langsung mengenai dpr)
4765,2017-11-08T02:45:24.000Z,Komisi X DPR RI mendorong RUU Ekonomi Kreatif segera diselesaikan sehingga ada hukum untuk mendorong kegiatan ekonomi kreatif InfoAktual,komisi KALI DPR RI dorong RUU ekonomi kreatif segera selesai sehingga ada hukum untuk dorong giat ekonomi kreatif infoaktual,0.2480494776538493,positive,moderate,positive,"DPR dinilai sebagai aktor yang membawa dampak baik, karena disitu ada kata mendorong"
10317,2018-08-16T07:42:51.000Z,Rapat Paripurna DPR RI pada siang ini memiliki dua agenda pertama Pidato Ketua DPR RI dalam rangka pembukaan Masa Persidangan I Tahun Sidang PidatoKetuaDPR ParipurnaDPR SidangRAPBN RI,rapat paripurna DPR RI pada siang ini milik dua agenda pertama pidato ketua DPR RI dalam rangka buka masa sidang i tahun sidang pidatoketuadpr paripurnadpr sidangrapbn RI,0.1024959424583152,positive,ambiguous,neutral,hanya publikasi agenda
367,2016-11-29T16:22:03.000Z,Masyarakat Bali khususnya dan Indonesia umumnya mendukung kebijakan pemerintah utk kesejahteraan rakyat BaliTungguRTB cc,masyarakat bal khusus dan indonesia umum dukung bijak perintah untuk sejahtera rakyat balitunggurtb cc,0.2101548378834749,positive,moderate,neutral,"memang terlihat positive isi tweetnya, namun yang dibahas adalah kebijakan pemerintah (bukan kebijakan DPR dan tidak ada pembahasan DPR didalamnya)"
11005,2019-12-19T11:21:44.000Z,Sampai sekarang anggota DPR masih suka bolos dari beberapa rapat paripurna hanya sekali dihadiri oleh anggota yaitu pada pelantikan awal,sampai sekarang anggota DPR masih suka bolos dari beberapa rapat paripurna hanya sekali hadir oleh anggota yaitu pada lantik awal,0.1283785800620896,positive,ambiguous,negative,membahas bahwa DPR jarang hadir rapat
13064,2025-11-10T07:23:29.000Z,Komisi V DPR RI bahas RUU Transportasi Online bersama pengemudi dan aplikator Edi Purwanto dorong kemitraan adil dan batas potongan aplikator maksimal persen untuk lindungi pengemudi,komisi v DPR RI bahas RUU transportasi online sama kemudi dan aplikator edi purwanto dorong mitra adil dan batas potong aplikator maksimal persen untuk lindung kemudi,0.151550762540322,positive,moderate,neutral,hanya publikasi agenda
817,2016-10-27T04:25:19.000Z,Agenda kedua Rapat Paripurna Pembicaraan Tk II pengambilan keputusan terhadap RUU Informasi dan Transaksi Elektronik ITE ParipurnaLive,agenda dua rapat paripurna bicara tak II ambil putus hadap RUU informasi dan transaksi elektronik ITE paripurnalive,0.4462436102487796,positive,confident,neutral,hanya publikasi agenda
6195,2017-07-13T08:57:49.000Z,opsi tentang RUU Pemilu telah dijelaskan oleh Panja DPR RI yang akan diputuskan oleh Pansus Pemilu di Gedung DPR RI Ach,opsi tentang RUU milu telah jelas oleh panja DPR RI yang akan putus oleh pansus milu di gedung DPR RI ach,0.1586485042974989,positive,moderate,neutral,penyampaian berita/informasi saja
