no,teks_processed,base_score_inset,compound_score,sentiment
1,ADIL loh untuk yang punya kebijakan publik negara ingat yang ini ! !,2.0,0.5386354991586763,positive
2,tertibkan media online DPR pemerintah jangan sporadis apalagi selektif hanya kepada media yang berseberangan,-15.0,-0.9689872352689299,negative
3,harus dievaluasi lagi kebijakan bebas visa terutama untuk negara tiongkok pak ! ! bahaya tersembunyi martabat RI,-5.0,-0.6614759220746924,negative
4,jangan ngambang aturan logis apa undang undang,-2.0,-0.38181916792267817,negative
5,kebebasan bersuara berpendapat memang dijamin UU tetapi kebebasan tersebut tidak harus kebablasan sehingga menabrak aturan aturan logis,-9.0,-0.4766576055745746,negative
6,anggota komisi IX DPR okky asokawati evaluasi dan moratorium kebijakan bebas visa,2.0,0.38181916792267817,positive
7,anggota DPR RI komisi II dari fraksi nasdem gelar reses di lampura lewat dinamika lampung,4.0,0.6369499429264264,positive
8,wapres meminta kebijakan bebas visa dievaluasi csps policy,0.0,0.0,neutral
9,asal sesuai undang undang anggota DPR ini setuju usul duterte,10.0,0.9000703207408192,positive
10,saat memberikan makanan bergizi bantuan kemenkes RI untuk balita di beberapa wil di DIY reses,3.0,0.5267415375673765,positive
11,saat bertemu keluarga ternak gemah ripah dan KUB sido makmur di kulon progo yang trm UPPO rp juta reses,7.0,0.8224628936244653,positive
12,turba ke masjid baiturrochman kulon progo yang pernah terima bantuan PKBL BRI rp juta reses,2.0,0.38181916792267817,positive
13,kebijakan yang salah mengawasi,-8.0,-0.8555415792658776,negative
14,sidang rapat paripurna PAW tiga anggota DPR aceh diganti,0.0,0.0,neutral
15,butuh kebijakan konkret untuk mengeksplorasi energipanasbumi untuk kebutuhan listrik nasional yang semakin meningkat,2.0,0.38181916792267817,positive
16,mr sandi CA mohon bantuan untuk tanda tangani petisi ke ketua dan wkl ketua DPR salam profesional,0.0,0.0,neutral
17,pagi all tiada yang lebih baik dari silaturrahim dengan konstituen tetap menyambangi rakyat edisi reses,1.0,0.20228869496966945,positive
18,anggota komisi II DPR RI hetifah gelar reses di kabupaten berau,2.0,0.38181916792267817,positive
19,reses anggota DPR RI viktor bungtilu laiskodat di desa merbaun tofa kec amarasi barat kab kupang NTT,-3.0,-0.5267415375673765,negative
20,ketua panja RUU revisi ITE TB hasanuddin sampaikan muatan materi UU perubahan UU ITE,-1.0,-0.20228869496966945,negative
21,gelar peringatan maulid nabi dan reses anggota DPR RI komisi VII klik,4.0,0.6369499429264264,positive
22,reses di sinjai DPR RI pusat serap aspirasi warga desa saukang,3.0,0.5267415375673765,positive
23,reses di sinjai DPR RI pusat serap aspirasi warga desa saukang via,3.0,0.5267415375673765,positive
24,anggota DPR RI EE mangindaan manfaatkan massa reses di desa esandom minahasa tenggara,-3.0,-0.5267415375673765,negative
25,demikian ulasan singkat tentang masa reses DPR semoga bermanfaat bagi kita semua resesdpr,5.0,0.7184212081070996,positive
26,masa reses ini diharapkan dapat dimanfaatkan dengan maksimal oleh masyarakat untuk menyampaikan aspirasi pembangunan daerahnya resesdpr,8.0,0.8555415792658776,positive
27,yang perlu diingat kita pahami bersama bahwa DPR bukanlah eksekutor jadi temuan selama masa reses ditindaklanjuti sesuai mekanisme resesdpr,4.0,0.6369499429264264,positive
28,berdasarkan tatib DPR pasal ayat hasil reses tersebut dilaporkan secara tertulis oleh anggota kepada fraksi masing masing resesdpr,-12.0,-0.9273739248094985,negative
29,kegiatan reses para anggota DPR dilakukan secara transparan dan adanya pertanggungjawaban yang jelas resesdpr,1.0,0.20228869496966945,positive
30,pada masa persidangan aspirasi masukan masyarakat selama masa reses akan disampaikan dibahas dengan pemerintah saat rapat kerja resesdpr,0.0,0.0,neutral
31,pada masa reses DPR melaksanakan tugas menyerap aspirasi masyarakat yang terkait dengan pelaksanaan fungsi dan tugas DPR resesdpr,-23.0,-0.9785572983953407,negative
32,masa reses sendiri tertuang dalam UU MD no dan peraturan DPR no tentang tata tertib DPR resesdpr,8.0,0.7690606697119023,positive
33,masa reses bukan berarti para anggota DPR tidak bekerja namuan aktivitasnya dilakukan di daerah terutama di daerah pemilihannya resesdpr,-4.0,-0.7869714878373897,negative
34,dalam masa reses anggota DPR akan melakukan kunjungan ke dapil maupun kunjungan ke daerah lainnya dengan alat kelengkapan dewan resesdpr,-3.0,-0.5267415375673765,negative
35,masa reses adalah masa dimana anggota DPR melakukan kegiatan di luar masa sidang terutama di luar gedung DPR resesdpr,5.0,0.7184212081070996,positive
36,masa reses DPR masa persidangan II tahun sidang akan berlangsung dari tanggal desember hingga januari resesdpr,-6.0,-0.7782533221506259,negative
37,selamat sore sahabat parle saat ini DPR RI sedang memasuki masa reses masa persidangan II tahun sidang resesdpr,12.0,0.9273739248094985,positive
38,reses di sinjai anggota DPR RI nasyid umar jemput keluhan warga,-6.0,-0.7782533221506259,negative
39,kabarnya memanfaatkan waktu reses ini wakil rakyat daerah pemilihan nusa tenggara timur NTT itu memboyong,-2.0,-0.38181916792267817,negative
40,KUNINGAN KAPOL reses anggota DPR RI dapat dilakukan dengan berbagai cara tetapi bagi KAH asep maosul affandi,4.0,0.7782533221506259,positive
41,CC anggota DPR ini meminta kebijakan bebas visa dicabut,-3.0,-0.5267415375673765,negative
42,inilah indikator kesuksesan reses anggota DPR RI,-3.0,-0.5267415375673765,negative
43,ada misi anggota DPR ketika masa reses pertama untuk membangun akuntabilitas politik cc,0.0,0.0,neutral
44,siang teman teman tanggal des jangan anggota melaksanakan reses apa yang perlu kita ketahui sebagai konstituen ? cc,-22.0,-0.9550667386061871,negative
45,akan bentuk pansus pekerja asing ilegal SEGERA tinjau ulang kebijakan bebas visa dengan RRC pak,9.0,0.8806721767742777,positive
46,terkait kegiatan reses anggota DPR RI KPU dan panwaslih diuji profesionalismenya,-3.0,-0.5267415375673765,negative
47,reses di bone anggota DPR RI akbar faisal sampaikan ini,-3.0,-0.5267415375673765,negative
48,temuan komisi IX DPR RI serbuan buruh china akibat kebijakan bebas visa,3.0,0.5267415375673765,positive
49,kemankalian saat rakyat menjerit karena kebijakan eksekutip yang gila ? dprkemana,-5.0,-0.7269457840180403,negative
50,komisi IX ketua komisi IX DPR RI merekomendasikan kepada pem agar tinjau ulang kebijakan bebas visa,2.0,0.38181916792267817,positive
51,ktweets komunitas disabilitas serahkan draft RUU penyandang disabilitas ke sekjen DPR RI ruudisabilitas,2.0,0.38181916792267817,positive
52,konsolidasi pendidikan politik DPD golkar kota semarang reses anggota DPR RI mujib rohmad,-2.0,-0.38181916792267817,negative
53,DPR meminta pemerintah evaluasi kebijakan bebas visa komisi IX DPR RI merekomendasikan kepada pemerintah untuk,3.0,0.5267415375673765,positive
54,reses anggota DPR RI drs h dadang si muchtar bersama masyarakat desa pasirtalaga kecamatan telagasari kabupaten karawang desember,0.0,0.0,neutral
55,bayangkan bila anggota dpr dalam reses nya mensosialisasikan tax amnesti pasti efek nya positif untuk menyakin kan rakyat tujuan ini program,10.0,0.9060609860313151,positive
56,babekasihtau rencana kebijakan redenominasi ini pandangan positif anggota DPR,6.0,0.7782533221506259,positive
57,body status dewibet jakarta rencana kebijakan uangrupiah redenominasi surabaya teamk wanita dewi,5.0,0.7184212081070996,positive
58,rencana kebijakan redenominasi ini pandangan positif anggota DPR,6.0,0.7782533221506259,positive
59,ratusan pekerja ilegal china ditangkap kebijakan BEBAS VISA perlu DITINJAU ULANG,4.0,0.6369499429264264,positive
60,anggota DPR ini meminta kebijakan bebas visa dicabut goaceh,-3.0,-0.5267415375673765,negative
61,anggota DPR ini meminta kebijakan bebas visa dicabut,-3.0,-0.5267415375673765,negative
62,sudah seharusnya di tinjau ulang anggota DPR ini meminta kebijakan bebas visa dicabut,0.0,0.0,neutral
63,bikin resah masyarakat anggota DPR ini meminta kebijakan bebas visa dicabut goaceh,-8.0,-0.8555415792658776,negative
64,bikin resah masyarakat anggota DPR ini meminta kebijakan bebas visa dicabut,-8.0,-0.8555415792658776,negative
65,komisi VII berharap RUU pekerja sosial masuk prolegnas,11.0,0.9152773258948753,positive
66,komisi VII berharap RUU pekerja sosial masuk prolegnas info,8.0,0.8555415792658776,positive
67,dwi murdaningsih komisi VII berharap RUU pekerja sosial masuk prolegnas,11.0,0.9152773258948753,positive
68,komisi VII berharap RUU pekerja sosial masuk prolegnas news,11.0,0.9152773258948753,positive
69,komisi VII berharap RUU pekerja sosial masuk prolegnas ROL,11.0,0.9152773258948753,positive
70,republikaonline komisi VII berharap RUU pekerja sosial masuk prolegnas,11.0,0.9152773258948753,positive
71,bilal ramadhan anggota DPR ini meminta kebijakan bebas visa dicabut,-3.0,-0.5267415375673765,negative
72,anggota DPR ini meminta kebijakan bebas visa dicabut ROL,-3.0,-0.5267415375673765,negative
73,anggota DPR ini meminta kebijakan bebas visa dicabut info,-6.0,-0.7782533221506259,negative
74,republikaonline anggota DPR ini meminta kebijakan bebas visa dicabut,-3.0,-0.5267415375673765,negative
75,anggota DPR ini meminta kebijakan bebas visa dicabut news,-3.0,-0.5267415375673765,negative
