no,timestamp,teks,teks_processed,ground_truth_mean,ground_truth_scaled,sd_annotator,ground_truth_category,tokens,matched_words,unmatched_words,filtered_tokens,filtered_word_scores
50,2016-12-24T13:54:06.000Z,Komisi IX Ketua Komisi IX DPR RI merekomendasikan kpd pem agar tinjau ulang kebijakan bebas visa,komisi IX ketua komisi IX DPR RI rekomendasi kepada pem agar tinjau ulang kebijakan bebas visa,0.8,0.2,0.447213595499958,positive,"['komisi', 'IX', 'ketua', 'komisi', 'IX', 'DPR', 'RI', 'rekomendasi', 'kepada', 'pem', 'agar', 'tinjau', 'ulang', 'kebijakan', 'bebas', 'visa']","['komisi', 'IX', 'ketua', 'komisi', 'IX', 'DPR', 'RI', 'rekomendasi', 'kepada', 'agar', 'tinjau', 'ulang', 'kebijakan', 'bebas', 'visa']",['pem'],"['komisi', 'IX', 'ketua', 'komisi', 'IX', 'DPR', 'RI', 'rekomendasi', 'kepada', 'pem', 'agar', 'tinjau', 'ulang', 'kebijakan', 'bebas', 'visa']","[{'word': 'komisi', 'score': 0.0, 'matched': True}, {'word': 'IX', 'score': 0.0, 'matched': True}, {'word': 'ketua', 'score': 0.0, 'matched': True}, {'word': 'komisi', 'score': 0.0, 'matched': True}, {'word': 'IX', 'score': 0.0, 'matched': True}, {'word': 'DPR', 'score': 0.0, 'matched': True}, {'word': 'RI', 'score': 0.0, 'matched': True}, {'word': 'rekomendasi', 'score': 0.0, 'matched': True}, {'word': 'kepada', 'score': 0.0, 'matched': True}, {'word': 'pem', 'score': 0.0, 'matched': False}, {'word': 'agar', 'score': -2.4000000000000004, 'matched': True}, {'word': 'tinjau', 'score': 0.0, 'matched': True}, {'word': 'ulang', 'score': 0.0, 'matched': True}, {'word': 'kebijakan', 'score': 0.0, 'matched': True}, {'word': 'bebas', 'score': -3.2, 'matched': True}, {'word': 'visa', 'score': 0.0, 'matched': True}]"
84,2016-12-21T08:47:51.000Z,Dapilku Rumahku Reses dan silaturahim bersama anggota DPR RI PKBMembelaRakyat,dapilku rumah reses dan silaturahim sama anggota DPR RI pkbmembelarakyat,0.8,0.2,0.447213595499958,positive,"['dapilku', 'rumah', 'reses', 'dan', 'silaturahim', 'sama', 'anggota', 'DPR', 'RI', 'pkbmembelarakyat']","['rumah', 'reses', 'silaturahim', 'sama', 'anggota', 'DPR', 'RI', 'pkbmembelarakyat']","['dapilku', 'dan']","['dapilku', 'rumah', 'reses', 'dan', 'silaturahim', 'sama', 'anggota', 'DPR', 'RI', 'pkbmembelarakyat']","[{'word': 'dapilku', 'score': 0.0, 'matched': False}, {'word': 'rumah', 'score': 2.4000000000000004, 'matched': True}, {'word': 'reses', 'score': 0.0, 'matched': True}, {'word': 'dan', 'score': 0.0, 'matched': False}, {'word': 'silaturahim', 'score': 0.0, 'matched': True}, {'word': 'sama', 'score': 2.4000000000000004, 'matched': True}, {'word': 'anggota', 'score': 0.0, 'matched': True}, {'word': 'DPR', 'score': 0.0, 'matched': True}, {'word': 'RI', 'score': 0.0, 'matched': True}, {'word': 'pkbmembelarakyat', 'score': -0.8, 'matched': True}]"
89,2016-12-20T18:32:07.000Z,mengharukan wakil rakyat trlalu banyak waktunya utk update disosmed hampir ga ada waktu utk update aspirasi rakyat yg diwakilinya,haru wakil rakyat terlalu banyak waktu untuk update disosmed hampir tidak ada waktu untuk update aspirasi rakyat yang wakil,-2.8,-0.7,0.4472135954999578,negative,"['haru', 'wakil', 'rakyat', 'terlalu', 'banyak', 'waktu', 'untuk', 'update', 'disosmed', 'hampir', 'tidak', 'ada', 'waktu', 'untuk', 'update', 'aspirasi', 'rakyat', 'yang', 'wakil']","['wakil', 'rakyat', 'terlalu', 'banyak', 'waktu', 'update', 'tidak', 'ada', 'waktu', 'update', 'aspirasi', 'rakyat', 'yang', 'wakil']","['haru', 'untuk', 'disosmed', 'hampir', 'untuk']","['haru', 'wakil', 'rakyat', 'terlalu', 'banyak', 'waktu', 'untuk', 'update', 'disosmed', 'hampir', 'tidak', 'ada', 'waktu', 'untuk', 'update', 'aspirasi', 'rakyat', 'yang', 'wakil']","[{'word': 'haru', 'score': 0.0, 'matched': False}, {'word': 'wakil', 'score': 0.0, 'matched': True}, {'word': 'rakyat', 'score': 0.0, 'matched': True}, {'word': 'terlalu', 'score': -2.4000000000000004, 'matched': True}, {'word': 'banyak', 'score': 0.0, 'matched': True}, {'word': 'waktu', 'score': 0.0, 'matched': True}, {'word': 'untuk', 'score': 0.0, 'matched': False}, {'word': 'update', 'score': 0.0, 'matched': True}, {'word': 'disosmed', 'score': 0.0, 'matched': False}, {'word': 'hampir', 'score': 0.0, 'matched': False}, {'word': 'tidak', 'score': -4.0, 'matched': True}, {'word': 'ada', 'score': 0.0, 'matched': True}, {'word': 'waktu', 'score': 0.0, 'matched': True}, {'word': 'untuk', 'score': 0.0, 'matched': False}, {'word': 'update', 'score': 0.0, 'matched': True}, {'word': 'aspirasi', 'score': 0.0, 'matched': True}, {'word': 'rakyat', 'score': 0.0, 'matched': True}, {'word': 'yang', 'score': -4.0, 'matched': True}, {'word': 'wakil', 'score': 0.0, 'matched': True}]"
101,2016-12-20T04:39:14.000Z,Ketua dan Para Wakil Ketua DPR RI PERLUNYA RUU PELAPORAN KEUANGAN UNTUK DUNIA BISNIS USAHA DI via,ketua dan para wakil ketua DPR RI PERLU RUU LAPOR UANG UNTUK DUNIA BISNIS USAHA DI via,0.8,0.2,0.447213595499958,positive,"['ketua', 'dan', 'para', 'wakil', 'ketua', 'DPR', 'RI', 'PERLU', 'RUU', 'LAPOR', 'UANG', 'UNTUK', 'DUNIA', 'BISNIS', 'USAHA', 'DI', 'via']","['ketua', 'para', 'wakil', 'ketua', 'DPR', 'RI', 'PERLU', 'RUU', 'LAPOR', 'DUNIA', 'BISNIS', 'USAHA']","['dan', 'UANG', 'UNTUK', 'DI', 'via']","['ketua', 'dan', 'para', 'wakil', 'ketua', 'DPR', 'RI', 'PERLU', 'RUU', 'LAPOR', 'UANG', 'UNTUK', 'DUNIA', 'BISNIS', 'USAHA', 'DI', 'via']","[{'word': 'ketua', 'score': 0.0, 'matched': True}, {'word': 'dan', 'score': 0.0, 'matched': False}, {'word': 'para', 'score': 1.6, 'matched': True}, {'word': 'wakil', 'score': 0.0, 'matched': True}, {'word': 'ketua', 'score': 0.0, 'matched': True}, {'word': 'DPR', 'score': 0.0, 'matched': True}, {'word': 'RI', 'score': 0.0, 'matched': True}, {'word': 'PERLU', 'score': 1.6, 'matched': True}, {'word': 'RUU', 'score': 0.0, 'matched': True}, {'word': 'LAPOR', 'score': 0.0, 'matched': True}, {'word': 'UANG', 'score': 0.0, 'matched': False}, {'word': 'UNTUK', 'score': 0.0, 'matched': False}, {'word': 'DUNIA', 'score': 0.8, 'matched': True}, {'word': 'BISNIS', 'score': 2.4000000000000004, 'matched': True}, {'word': 'USAHA', 'score': 0.8, 'matched': True}, {'word': 'DI', 'score': 0.0, 'matched': False}, {'word': 'via', 'score': 0.0, 'matched': False}]"
121,2016-12-18T04:07:09.000Z,Viva Anggota DPR Minta TNI AU Investigasi Kecelakaan Hercules Mereka siap jika harus membuat kebijakan NewsToday,viva anggota DPR minta TNI AU investigasi celaka hercules mereka siap jika harus buat kebijakan newstoday,0.6,0.15,0.5477225575051662,positive,"['viva', 'anggota', 'DPR', 'minta', 'TNI', 'AU', 'investigasi', 'celaka', 'hercules', 'mereka', 'siap', 'jika', 'harus', 'buat', 'kebijakan', 'newstoday']","['viva', 'anggota', 'DPR', 'minta', 'TNI', 'AU', 'investigasi', 'celaka', 'mereka', 'siap', 'harus', 'buat', 'kebijakan']","['hercules', 'jika', 'newstoday']","['viva', 'anggota', 'DPR', 'minta', 'TNI', 'AU', 'investigasi', 'celaka', 'hercules', 'mereka', 'siap', 'jika', 'harus', 'buat', 'kebijakan', 'newstoday']","[{'word': 'viva', 'score': 0.0, 'matched': True}, {'word': 'anggota', 'score': 0.0, 'matched': True}, {'word': 'DPR', 'score': 0.0, 'matched': True}, {'word': 'minta', 'score': 1.6, 'matched': True}, {'word': 'TNI', 'score': 0.0, 'matched': True}, {'word': 'AU', 'score': 0.0, 'matched': True}, {'word': 'investigasi', 'score': 0.0, 'matched': True}, {'word': 'celaka', 'score': -4.0, 'matched': True}, {'word': 'hercules', 'score': 0.0, 'matched': False}, {'word': 'mereka', 'score': 0.0, 'matched': True}, {'word': 'siap', 'score': 0.8, 'matched': True}, {'word': 'jika', 'score': 0.0, 'matched': False}, {'word': 'harus', 'score': -4.0, 'matched': True}, {'word': 'buat', 'score': 0.8, 'matched': True}, {'word': 'kebijakan', 'score': 0.0, 'matched': True}, {'word': 'newstoday', 'score': 0.0, 'matched': False}]"
135,2016-12-16T16:43:12.000Z,Komisi IX Pelajari Program Harga Pas Dan Anak Tokcer Komisi IX DPR RI dalam Masa Reses Persidangan II Tahun Sidang,komisi IX ajar program harga pas dan anak tokcer komisi IX DPR RI dalam masa reses sidang II tahun sidang,0.0,0.0,0.0,neutral,"['komisi', 'IX', 'ajar', 'program', 'harga', 'pas', 'dan', 'anak', 'tokcer', 'komisi', 'IX', 'DPR', 'RI', 'dalam', 'masa', 'reses', 'sidang', 'II', 'tahun', 'sidang']","['komisi', 'IX', 'ajar', 'program', 'harga', 'pas', 'anak', 'tokcer', 'komisi', 'IX', 'DPR', 'RI', 'dalam', 'masa', 'reses', 'sidang', 'II', 'tahun', 'sidang']",['dan'],"['komisi', 'IX', 'ajar', 'program', 'harga', 'pas', 'dan', 'anak', 'tokcer', 'komisi', 'IX', 'DPR', 'RI', 'dalam', 'masa', 'reses', 'sidang', 'II', 'tahun', 'sidang']","[{'word': 'komisi', 'score': 0.0, 'matched': True}, {'word': 'IX', 'score': 0.0, 'matched': True}, {'word': 'ajar', 'score': 0.8, 'matched': True}, {'word': 'program', 'score': 0.0, 'matched': True}, {'word': 'harga', 'score': 2.4000000000000004, 'matched': True}, {'word': 'pas', 'score': 2.4000000000000004, 'matched': True}, {'word': 'dan', 'score': 0.0, 'matched': False}, {'word': 'anak', 'score': -2.4000000000000004, 'matched': True}, {'word': 'tokcer', 'score': 3.2, 'matched': True}, {'word': 'komisi', 'score': 0.0, 'matched': True}, {'word': 'IX', 'score': 0.0, 'matched': True}, {'word': 'DPR', 'score': 0.0, 'matched': True}, {'word': 'RI', 'score': 0.0, 'matched': True}, {'word': 'dalam', 'score': 2.4000000000000004, 'matched': True}, {'word': 'masa', 'score': 0.0, 'matched': True}, {'word': 'reses', 'score': 0.0, 'matched': True}, {'word': 'sidang', 'score': 0.0, 'matched': True}, {'word': 'II', 'score': 0.0, 'matched': True}, {'word': 'tahun', 'score': 0.0, 'matched': True}, {'word': 'sidang', 'score': 0.0, 'matched': True}]"
150,2016-12-16T03:02:32.000Z,Dwi Murdaningsih RUU Jasa Konstruksi Resmi Disahkan Menjadi UU,dwi murdaningsih RUU jasa konstruksi resmi sah jadi UU,0.8,0.2,0.447213595499958,positive,"['dwi', 'murdaningsih', 'RUU', 'jasa', 'konstruksi', 'resmi', 'sah', 'jadi', 'UU']","['RUU', 'jasa', 'konstruksi', 'resmi', 'jadi', 'UU']","['dwi', 'murdaningsih', 'sah']","['dwi', 'murdaningsih', 'RUU', 'jasa', 'konstruksi', 'resmi', 'sah', 'jadi', 'UU']","[{'word': 'dwi', 'score': 0.0, 'matched': False}, {'word': 'murdaningsih', 'score': 0.0, 'matched': False}, {'word': 'RUU', 'score': 0.0, 'matched': True}, {'word': 'jasa', 'score': 3.2, 'matched': True}, {'word': 'konstruksi', 'score': 0.0, 'matched': True}, {'word': 'resmi', 'score': 1.6, 'matched': True}, {'word': 'sah', 'score': 0.0, 'matched': False}, {'word': 'jadi', 'score': 0.8, 'matched': True}, {'word': 'UU', 'score': 0.0, 'matched': True}]"
168,2016-12-15T09:59:13.000Z,Paripurna DPR Setujui RUU Pertembakauan untuk Dibahas ROL,paripurna DPR tuju RUU tembakau untuk bahas ROL,0.2,0.05,0.447213595499958,positive,"['paripurna', 'DPR', 'tuju', 'RUU', 'tembakau', 'untuk', 'bahas', 'ROL']","['paripurna', 'DPR', 'tuju', 'RUU', 'tembakau', 'bahas']","['untuk', 'ROL']","['paripurna', 'DPR', 'tuju', 'RUU', 'tembakau', 'untuk', 'bahas', 'ROL']","[{'word': 'paripurna', 'score': 0.0, 'matched': True}, {'word': 'DPR', 'score': 0.0, 'matched': True}, {'word': 'tuju', 'score': 2.4000000000000004, 'matched': True}, {'word': 'RUU', 'score': 0.0, 'matched': True}, {'word': 'tembakau', 'score': 0.0, 'matched': True}, {'word': 'untuk', 'score': 0.0, 'matched': False}, {'word': 'bahas', 'score': 0.0, 'matched': True}, {'word': 'ROL', 'score': 0.0, 'matched': False}]"
359,2016-11-30T04:03:17.000Z,Jakarta Proses pergantian Ketua DPR RI yang diusulkan oleh Partai Golkar sampai puncaknya hari ini Sore ini DPR,jakarta proses ganti ketua DPR RI yang usul oleh partai golkar sampai puncak hari ini sore ini DPR,0.0,0.0,0.0,neutral,"['jakarta', 'proses', 'ganti', 'ketua', 'DPR', 'RI', 'yang', 'usul', 'oleh', 'partai', 'golkar', 'sampai', 'puncak', 'hari', 'ini', 'sore', 'ini', 'DPR']","['jakarta', 'proses', 'ganti', 'ketua', 'DPR', 'RI', 'yang', 'usul', 'oleh', 'partai', 'golkar', 'sampai', 'puncak', 'hari', 'DPR']","['ini', 'sore', 'ini']","['jakarta', 'proses', 'ganti', 'ketua', 'DPR', 'RI', 'yang', 'usul', 'oleh', 'partai', 'golkar', 'sampai', 'puncak', 'hari', 'ini', 'sore', 'ini', 'DPR']","[{'word': 'jakarta', 'score': 0.0, 'matched': True}, {'word': 'proses', 'score': 0.8, 'matched': True}, {'word': 'ganti', 'score': 2.4000000000000004, 'matched': True}, {'word': 'ketua', 'score': 0.0, 'matched': True}, {'word': 'DPR', 'score': 0.0, 'matched': True}, {'word': 'RI', 'score': 0.0, 'matched': True}, {'word': 'yang', 'score': -4.0, 'matched': True}, {'word': 'usul', 'score': 0.0, 'matched': True}, {'word': 'oleh', 'score': 0.0, 'matched': True}, {'word': 'partai', 'score': 0.0, 'matched': True}, {'word': 'golkar', 'score': 0.0, 'matched': True}, {'word': 'sampai', 'score': 1.6, 'matched': True}, {'word': 'puncak', 'score': -2.4000000000000004, 'matched': True}, {'word': 'hari', 'score': 0.0, 'matched': True}, {'word': 'ini', 'score': 0.0, 'matched': False}, {'word': 'sore', 'score': 0.0, 'matched': False}, {'word': 'ini', 'score': 0.0, 'matched': False}, {'word': 'DPR', 'score': 0.0, 'matched': True}]"
360,2016-11-30T03:42:13.000Z,RUU Ketentuan Umum Perpajakan Masih Dibahas DPR,RUU tentu umum paja masih bahas DPR,0.0,0.0,0.0,neutral,"['RUU', 'tentu', 'umum', 'paja', 'masih', 'bahas', 'DPR']","['RUU', 'tentu', 'umum', 'masih', 'bahas', 'DPR']",['paja'],"['RUU', 'tentu', 'umum', 'paja', 'masih', 'bahas', 'DPR']","[{'word': 'RUU', 'score': 0.0, 'matched': True}, {'word': 'tentu', 'score': -2.4000000000000004, 'matched': True}, {'word': 'umum', 'score': 0.8, 'matched': True}, {'word': 'paja', 'score': 0.0, 'matched': False}, {'word': 'masih', 'score': -0.4, 'matched': True}, {'word': 'bahas', 'score': 0.0, 'matched': True}, {'word': 'DPR', 'score': 0.0, 'matched': True}]"
