no,score_annotator 1,score_annotator 2,score_annotator 3,score_annotator 4,score_annotator 5
6885,0,-1,-1,-1,-1
7320,0,0,1,0,0
360,0,0,0,0,0
1514,0,0,0,0,0
4881,0,0,0,1,0
8640,-1,-1,0,-1,-1
2708,-2,-2,-1,-2,-2
5669,-2,-1,-2,-2,-1
1032,0,0,-1,0,0
829,0,0,0,1,0
8247,0,0,0,0,0
1121,0,0,1,0,0
6841,-1,-1,0,-1,-1
4742,0,0,-1,0,0
1406,0,0,0,1,0
9339,0,0,0,1,0
10642,-2,-1,-1,-1,-1
1587,-2,-2,-2,-2,-2
3461,-3,-4,-4,-4,-4
2162,0,0,0,0,0
10682,-1,-2,-2,-3,-2
5661,0,0,0,0,0
2814,0,1,0,1,1
7441,0,1,1,0,1
2843,0,0,0,0,0
9474,0,0,0,0,0
5723,0,0,0,0,0
7301,0,0,0,0,0
566,0,0,0,0,0
2288,0,0,0,1,0
8912,0,-2,-2,-2,-2
2663,-2,-3,-3,-3,-3
2086,-2,-1,-1,-1,-1
5928,1,-1,-1,-1,-1
11663,-2,-3,-3,-3,-3
8592,-3,0,0,-2,0
12390,0,0,0,0,0
4375,-1,0,0,-1,0
11069,0,0,0,0,0
3411,0,0,0,0,0
369,0,-2,-2,-2,-2
7654,0,0,0,0,0
10228,-1,-1,-1,-1,-1
3360,0,1,0,1,1
6101,0,0,0,0,0
6397,0,-1,-1,-1,-1
2079,-2,-1,0,-1,-1
4755,1,0,2,0,0
531,2,1,0,1,1
7818,0,0,0,0,0
5249,1,-1,-1,-1,-1
7891,0,0,0,0,0
5317,0,0,0,0,0
786,0,0,1,1,0
7271,0,1,1,1,0
12791,0,1,0,1,0
4198,0,0,0,0,0
552,0,0,0,0,0
9999,0,1,0,0,-2
2842,-2,-2,-2,-2,0
1569,0,-1,0,-1,0
401,0,0,0,0,1
8100,1,1,1,1,0
5259,0,-1,0,-1,0
5791,0,0,0,0,0
5506,0,0,1,-1,0
6874,0,0,0,0,0
8190,0,0,0,0,0
6607,0,0,0,0,0
2948,0,0,0,0,0
5933,0,0,0,0,-2
494,-2,-3,-3,-3,0
7041,0,-1,0,-1,0
168,0,0,1,0,0
790,0,0,1,1,1
9219,1,1,0,1,0
472,0,-1,0,0,0
4376,0,0,0,0,-2
8182,-2,0,0,0,0
3136,0,0,0,0,0
4244,0,1,0,0,-1
10940,-1,-1,0,-1,0
6283,0,0,0,0,0
11440,0,1,1,1,1
3673,1,1,1,-2,0
745,0,0,0,0,0
3297,0,1,1,1,0
8066,0,1,1,1,0
4300,0,0,0,-1,0
5824,0,0,0,0,0
411,0,1,1,1,-2
3567,-2,-3,-3,-3,0
2796,0,1,0,1,-1
1903,-1,-2,-1,-2,0
6330,0,0,0,0,-1
5094,-1,-1,0,-1,-2
2391,-2,-3,-2,-3,0
4609,0,0,0,0,0
4877,0,0,1,1,0
420,0,-1,0,0,-2
11867,-4,-4,-4,-4,-4
7158,0,-1,0,-1,-1
2947,0,0,0,0,0
442,0,0,0,0,0
583,0,0,0,0,0
6744,1,2,1,1,2
2909,0,0,0,0,0
6878,-2,-2,-2,-3,-2
